,subject,age,gender,word,word_nr,distance,cumulative,time,category
0,10,23,f,burger,1,0,0,1.346570969,foods
1,10,23,f,cake,2,56.59379571,56.59379571,1.533432007,foods
2,10,23,f,pizza,3,23.88539339,80.47918911,5.392597198,foods
3,10,23,f,potato,4,100,180.4791891,3.291431904,foods
4,10,23,f,tomato,5,100,280.4791891,1.502300978,foods
5,10,23,f,salad,6,100,380.4791891,7.433984041,foods
6,10,23,f,salsa,7,23.50854377,403.9877329,1.341051817,foods
7,10,23,f,tortilla,8,31.4017406,435.3894735,3.536044836,foods
8,10,23,f,taco,9,100,535.3894735,1.961117983,foods
9,10,23,f,chili,10,100,635.3894735,4.92220521,foods
10,10,23,f,kabab,11,100,735.3894735,2.054078102,foods
11,10,23,f,falaffel,12,100,835.3894735,2.751061916,foods
12,10,23,f,hummus,13,100,935.3894735,2.500991106,foods
13,10,23,f,garlic,14,100,1035.389473,8.112885952,foods
14,10,23,f,onion,15,3.795167638,1039.184641,2.860044003,foods
15,10,23,f,spring onion,16,5.258768533,1044.44341,2.796947956,foods
16,10,23,f,bell pepper,17,16.48387283,1060.927282,6.913939953,foods
17,10,23,f,cucumber,18,6.289816714,1067.217099,2.838273048,foods
18,10,23,f,isberg lettuce,19,15.77888129,1082.99598,8.79564786,foods
19,10,23,f,cabbage,20,15.89225401,1098.888234,6.383041143,foods
20,10,23,f,lemon,21,39.99544999,1138.883684,5.257143974,foods
21,10,23,f,fruit,22,25.86316462,1164.746849,2.504456997,foods
22,10,23,f,banana,23,6.682051289,1171.4289,1.808306217,foods
23,10,23,f,apple,24,16.93029936,1188.3592,1.886845827,foods
24,10,23,f,,25,100,1288.3592,0.136237144,foods
25,10,23,f,orange,26,100,1388.3592,1.438225985,foods
26,10,23,f,grape,27,21.42942228,1409.788622,3.411855936,foods
27,10,23,f,strawberry,28,5.676534972,1415.465157,4.892829895,foods
28,10,23,f,blueberry,29,4.10055615,1419.565713,4.042876005,foods
29,10,23,f,icecream,30,100,1519.565713,3.771214008,foods
30,10,23,f,chocolate cake,31,100,1619.565713,11.82256699,foods
